feature,method,group1,group2,p_values,log2FoldChange,p_adjust,adj_method
PWY66-389,LinDA,Ähtäri,Vildriket,0.2803404873816447,1.1820985776295514,0.8408526586572936,BH
PWY0-1296,LinDA,Ähtäri,Vildriket,0.7536312094623844,0.11304719170029148,0.9910038019755495,BH
GLUCOSE1PMETAB-PWY,LinDA,Ähtäri,Vildriket,0.9218476376970604,0.021626539243034516,0.9910038019755495,BH
PWY-7357,LinDA,Ähtäri,Vildriket,0.0585154471024029,-0.2643693890032525,0.3873757217365605,BH
PWY-7220,LinDA,Ähtäri,Vildriket,0.8934850549665045,-0.02822957365718197,0.9910038019755495,BH
PWY-7222,LinDA,Ähtäri,Vildriket,0.8934850549665043,-0.02822957365718204,0.9910038019755495,BH
PWY-5667,LinDA,Ähtäri,Vildriket,0.2153545518979578,0.09353332075157811,0.7886223027249174,BH
PWY0-1319,LinDA,Ähtäri,Vildriket,0.2153545518979582,0.09353332075157803,0.7886223027249174,BH
PWY-7663,LinDA,Ähtäri,Vildriket,0.5784278287639328,-0.13943231798507394,0.9910038019755495,BH
PHOSLIPSYN-PWY,LinDA,Ähtäri,Vildriket,0.280993020729328,0.0895185798425778,0.8408526586572936,BH
PWY-5973,LinDA,Ähtäri,Vildriket,0.6045034986847106,-0.11912550719216074,0.9910038019755495,BH
PWY-6385,LinDA,Ähtäri,Vildriket,0.7124778579048228,0.02723946729620548,0.9910038019755495,BH
PWY4FS-7,LinDA,Ähtäri,Vildriket,0.33191529032858025,0.08413273157592202,0.8805915865860292,BH
